String: do
1,7,1,d,0
2,4,0,o,0
Rejected
String: mdzzzo
1,6,1,m,9
2,47,9,d,0
3,3,0,z,0
4,3,0,z,0
5,3,0,z,0
6,4,0,o,0
Rejected
String: mp
1,6,1,m,9
2,45,9,p,0
Rejected
String: mz
1,6,1,m,9
2,48,9,z,10
Rejected
String: mzd
1,6,1,m,9
2,48,9,z,10
3,52,10,d,11
Rejected
String: mzdo
1,6,1,m,9
2,48,9,z,10
3,52,10,d,11
4,59,11,o,7
Accepted
String: mzdz
1,6,1,m,9
2,48,9,z,10
3,52,10,d,11
4,58,11,z,8
Rejected
String: mzdzzo
1,6,1,m,9
2,48,9,z,10
3,52,10,d,11
4,58,11,z,8
5,43,8,z,8
6,44,8,o,7
Accepted
String: mzdzzz
1,6,1,m,9
2,48,9,z,10
3,52,10,d,11
4,58,11,z,8
5,43,8,z,8
6,43,8,z,8
Rejected
String: pd
1,5,1,p,2
2,12,2,d,0
Rejected
String: pdo
1,5,1,p,2
2,12,2,d,0
3,4,0,o,0
Rejected
String: pm
1,5,1,p,2
2,11,2,m,0
Rejected
String: pz
1,5,1,p,2
2,13,2,z,3
Accepted
String: pzdz
1,5,1,p,2
2,13,2,z,3
3,17,3,d,5
4,28,5,z,6
Accepted
String: pzdzzo
1,5,1,p,2
2,13,2,z,3
3,17,3,d,5
4,28,5,z,6
5,33,6,z,8
6,44,8,o,7
Accepted
String: pzdzzo
1,5,1,p,2
2,13,2,z,3
3,17,3,d,5
4,28,5,z,6
5,33,6,z,8
6,44,8,o,7
Accepted
String: z
1,8,1,z,3
Accepted
String: zdo
1,8,1,z,3
2,17,3,d,5
3,29,5,o,7
Accepted
String: zdz
1,8,1,z,3
2,17,3,d,5
3,28,5,z,6
Accepted
String: zdzo
1,8,1,z,3
2,17,3,d,5
3,28,5,z,6
4,34,6,o,7
Accepted
String: zdzz
1,8,1,z,3
2,17,3,d,5
3,28,5,z,6
4,33,6,z,8
Rejected
