String: 1
1,1,q1,1,q2
Accepted
String: 01
1,0,q1,0,q1
2,1,q1,1,q2
Accepted
String: 11
1,1,q1,1,q2
2,2,q2,1,q2
Accepted
String: 0101010101
1,0,q1,0,q1
2,1,q1,1,q2
3,3,q2,0,q3
4,5,q3,1,q2
5,3,q2,0,q3
6,5,q3,1,q2
7,3,q2,0,q3
8,5,q3,1,q2
9,3,q2,0,q3
10,5,q3,1,q2
Accepted
String: 100
1,1,q1,1,q2
2,3,q2,0,q3
3,4,q3,0,q2
Accepted
String: 0100
1,0,q1,0,q1
2,1,q1,1,q2
3,3,q2,0,q3
4,4,q3,0,q2
Accepted
String: 110000
1,1,q1,1,q2
2,2,q2,1,q2
3,3,q2,0,q3
4,4,q3,0,q2
5,3,q2,0,q3
6,4,q3,0,q2
Accepted
String: 0101000000
1,0,q1,0,q1
2,1,q1,1,q2
3,3,q2,0,q3
4,5,q3,1,q2
5,3,q2,0,q3
6,4,q3,0,q2
7,3,q2,0,q3
8,4,q3,0,q2
9,3,q2,0,q3
10,4,q3,0,q2
Accepted
String: 0
1,0,q1,0,q1
Rejected
String: 010
1,0,q1,0,q1
2,1,q1,1,q2
3,3,q2,0,q3
Rejected
String: 11000
1,1,q1,1,q2
2,2,q2,1,q2
3,3,q2,0,q3
4,4,q3,0,q2
5,3,q2,0,q3
Rejected
String: 01010101010
1,0,q1,0,q1
2,1,q1,1,q2
3,3,q2,0,q3
4,5,q3,1,q2
5,3,q2,0,q3
6,5,q3,1,q2
7,3,q2,0,q3
8,5,q3,1,q2
9,3,q2,0,q3
10,5,q3,1,q2
11,3,q2,0,q3
Rejected
String: 01000
1,0,q1,0,q1
2,1,q1,1,q2
3,3,q2,0,q3
4,4,q3,0,q2
5,3,q2,0,q3
Rejected
String: 11000
1,1,q1,1,q2
2,2,q2,1,q2
3,3,q2,0,q3
4,4,q3,0,q2
5,3,q2,0,q3
Rejected
String: 010100111000
1,0,q1,0,q1
2,1,q1,1,q2
3,3,q2,0,q3
4,5,q3,1,q2
5,3,q2,0,q3
6,4,q3,0,q2
7,2,q2,1,q2
8,2,q2,1,q2
9,2,q2,1,q2
10,3,q2,0,q3
11,4,q3,0,q2
12,3,q2,0,q3
Rejected
